NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0113-0084,HUMAN OTC DRUG,Good Sense First Aid Antibiotic,,"bacitracin zinc, neomycin, polymyxin B",OINTMENT,TOPICAL,20140428,,OTC MONOGRAPH DRUG,M004,L. Perrigo Company,BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,400; 3.5; 5000,[USP'U]/g; mg/g; [USP'U]/g,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",,N,20261231,L30.9,"[{""icd10_code"":""L30.9"",""description"":""Dermatitis, unspecified"",""confidence"":0.6,""context"":""skin condition""},{""icd10_code"":""L20.9"",""description"":""Atopic dermatitis, unspecified"",""confidence"":0.2,""context"":""eczema""},{""icd10_code"":""L40.9"",""description"":""Psoriasis, unspecified"",""confidence"":0.2,""context"":""psoriasis""}]",0.60
0113-0087,HUMAN OTC DRUG,good sense anti diarrheal anti gas,,"loperamide hydrochloride, simethicone",TABLET,ORAL,20181011,,ANDA,ANDA209837,L. Perrigo Company,DIMETHICONE; LOPERAMIDE HYDROCHLORIDE,125; 2,mg/1; mg/1,"Opioid Agonist [EPC], Opioid Agonists [MoA], Skin Barrier Activity [PE]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0116,HUMAN OTC DRUG,Good Sense Lansoprazole,,Lansoprazole,"TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE",ORAL,20171128,,NDA,NDA208025,L. Perrigo Company,LANSOPRAZOLE,15,mg/1,"Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0141,HUMAN OTC DRUG,good sense acid reducer,,Famotidine,"TABLET, FILM COATED",ORAL,20091023,,ANDA,ANDA075400,L. Perrigo Company,FAMOTIDINE,10,mg/1,"Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0147,HUMAN OTC DRUG,good sense all day allergy d,,"Cetirizine hydrochloride, Pseudoephedrine hydrochloride","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20201227,,ANDA,ANDA210719,L. Perrigo Company,CETIRIZINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,5; 120,mg/1; mg/1,"Adrenergic alpha-Agonists [MoA], Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], alpha-Adrenergic Agonist [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0161,HUMAN OTC DRUG,Good Sense pain and fever,,Acetaminophen,SUSPENSION,ORAL,20110921,,OTC MONOGRAPH DRUG,M013,L. Perrigo Company,ACETAMINOPHEN,160,mg/5mL,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0166,HUMAN OTC DRUG,good sense ibuprofen,childrens,Ibuprofen,SUSPENSION,ORAL,20020504,,ANDA,ANDA074937,L. Perrigo Company,IBUPROFEN,100,mg/5mL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",,N,20261231,M79.3,"[{""icd10_code"":""M79.3"",""description"":""Panniculitis, unspecified"",""confidence"":0.3,""context"":""general pain/inflammation""},{""icd10_code"":""M25.50"",""description"":""Pain in unspecified joint"",""confidence"":0.25,""context"":""joint pain""},{""icd10_code"":""R50.9"",""description"":""Fever, unspecified"",""confidence"":0.2,""context"":""fever reduction""},{""icd10_code"":""G43.909"",""description"":""Migraine, unspecified, not intractable, without status migrainosus"",""confidence"":0.15,""context"":""headache""},{""icd10_code"":""M79.1"",""description"":""Myalgia"",""confidence"":0.1,""context"":""muscle pain""}]",0.30
0113-0170,HUMAN OTC DRUG,Good Sense Nicotine,,Nicotine Polacrilex,"GUM, CHEWING",ORAL,20050506,,ANDA,ANDA076789,L. Perrigo Company,NICOTINE,4,mg/1,"Cholinergic Nicotinic Agonist [EPC], Nicotine [CS]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0186,HUMAN OTC DRUG,Good Sense Sleep Time,,Diphenhydramine HCl,SOLUTION,ORAL,20130702,,OTC MONOGRAPH DRUG,M010,L. Perrigo Company,DIPHENHYDRAMINE HYDROCHLORIDE,50,mg/30mL,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0188,HUMAN OTC DRUG,Good Sense Hemorrhoidal,,"mineral oil, petrolatum, phenylephrine HCl",OINTMENT,RECTAL,20131121,,OTC MONOGRAPH DRUG,M015,L. Perrigo Company,MINERAL OIL; PETROLATUM; PHENYLEPHRINE HYDROCHLORIDE,14; 74.9; .25,g/100g; g/100g; g/100g,"Adrenergic alpha1-Agonists [MoA], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0189,HUMAN OTC DRUG,Good Sense Childrens All Day Allergy,,Cetirizine HCl,SOLUTION,ORAL,20140103,,ANDA,ANDA204226,L. Perrigo Company,CETIRIZINE HYDROCHLORIDE,5,mg/5mL,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0194,HUMAN OTC DRUG,Good Sense Acid Reducer,,Famotidine,"TABLET, FILM COATED",ORAL,20070316,,ANDA,ANDA077351,L. Perrigo Company,FAMOTIDINE,20,mg/1,"Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0206,HUMAN OTC DRUG,good sense nicotine,mint,Nicotine Polacrilex,"GUM, CHEWING",ORAL,19910415,,ANDA,ANDA078325,L. Perrigo Company,NICOTINE,2,mg/1,"Cholinergic Nicotinic Agonist [EPC], Nicotine [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0212,HUMAN OTC DRUG,Good Sense Childrens Pain and Fever,,Acetaminophen,SUSPENSION,ORAL,19930225,,OTC MONOGRAPH DRUG,M013,L. Perrigo Company,ACETAMINOPHEN,160,mg/5mL,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0214,HUMAN OTC DRUG,Good Sense Miconazole 7,,Miconazole nitrate,CREAM,VAGINAL,19990730,,ANDA,ANDA074760,L Perrigo Company,MICONAZOLE NITRATE,2,g/100g,"Azole Antifungal [EPC], Azoles [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0224,HUMAN OTC DRUG,Good Sense anti diarrheal,,Loperamide Hydrochloride,"TABLET, FILM COATED",ORAL,20030225,,ANDA,ANDA075232,L. Perrigo Company,LOPERAMIDE HYDROCHLORIDE,2,mg/1,"Opioid Agonist [EPC], Opioid Agonists [MoA]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0241,HUMAN OTC DRUG,good sense levocetirizine,,levocetirizine dihydrochloride,"TABLET, FILM COATED",ORAL,20200911,,ANDA,ANDA211983,L. Perrigo Company,LEVOCETIRIZINE DIHYDROCHLORIDE,5,mg/1,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0274,HUMAN OTC DRUG,Good Sense aspirin,,Aspirin,"TABLET, CHEWABLE",ORAL,19970808,,OTC MONOGRAPH DRUG,M013,L. Perrigo Company,ASPIRIN,81,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC]",,N,20251231,Z79.02,"[{""icd10_code"":""Z79.02"",""description"":""Long term use of antithrombotics/antiplatelets"",""confidence"":0.8,""context"":""cardioprotection""},{""icd10_code"":""I25.10"",""description"":""Atherosclerotic heart disease without angina pectoris"",""confidence"":0.2,""context"":""CAD prevention""}]",0.80
0113-0279,HUMAN OTC DRUG,Good Sense Hemorrhoidal,,"cocoa butter, phenylephrine HCl",SUPPOSITORY,RECTAL,20140904,,OTC MONOGRAPH DRUG,M015,L. Perrigo Company,COCOA BUTTER; PHENYLEPHRINE HYDROCHLORIDE,2211; 6.5,mg/1; mg/1,"Adrenergic alpha1-Agonists [MoA], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0285,HUMAN OTC DRUG,Good Sense 24 hour allergy nasal,,Fluticasone Propionate,"SPRAY, METERED",NASAL,20171129,,ANDA,ANDA207957,L. Perrigo Company,FLUTICASONE PROPIONATE,50,ug/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0298,HUMAN OTC DRUG,good sense ibuprofen,,Ibuprofen,"CAPSULE, LIQUID FILLED",ORAL,20180220,,ANDA,ANDA203599,L. Perrigo Company,IBUPROFEN,200,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",,N,20261231,M79.3,"[{""icd10_code"":""M79.3"",""description"":""Panniculitis, unspecified"",""confidence"":0.3,""context"":""general pain/inflammation""},{""icd10_code"":""M25.50"",""description"":""Pain in unspecified joint"",""confidence"":0.25,""context"":""joint pain""},{""icd10_code"":""R50.9"",""description"":""Fever, unspecified"",""confidence"":0.2,""context"":""fever reduction""},{""icd10_code"":""G43.909"",""description"":""Migraine, unspecified, not intractable, without status migrainosus"",""confidence"":0.15,""context"":""headache""},{""icd10_code"":""M79.1"",""description"":""Myalgia"",""confidence"":0.1,""context"":""muscle pain""}]",0.30
0113-0304,HUMAN OTC DRUG,Good Sense Nasal,,oxymetazoline hydrochloride,SPRAY,NASAL,19890915,,OTC MONOGRAPH DRUG,M012,L. Perrigo Company,OXYMETAZOLINE HYDROCHLORIDE,0.5,mg/mL,"Imidazolines [CS], Increased Sympathetic Activity [PE], Vasoconstriction [PE], Vasoconstrictor [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0306,HUMAN OTC DRUG,Good Sense Clear Lax,,Polyethylene Glycol 3350,"POWDER, FOR SOLUTION",ORAL,20091007,,ANDA,ANDA090685,L. Perrigo Company,POLYETHYLENE GLYCOL 3350,17,g/17g,"Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0335,HUMAN OTC DRUG,good sense night time,,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",SOLUTION,ORAL,20110819,,OTC MONOGRAPH DRUG,M012,L. Perrigo Company,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE,650; 30; 12.5,mg/30mL; mg/30mL; mg/30mL,"Antihistamine [EPC], Histamine Receptor Antagonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0344,HUMAN OTC DRUG,Good Sense Nicotine,,Nicotine Polacrilex,LOZENGE,ORAL,20060725,,ANDA,ANDA077007,L. Perrigo Company,NICOTINE,2,mg/1,"Cholinergic Nicotinic Agonist [EPC], Nicotine [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0374,HUMAN OTC DRUG,good sense migraine formula,,"Acetaminophen, Aspirin, Caffeine","TABLET, FILM COATED",ORAL,20020417,,ANDA,ANDA075794,L. Perrigo Company,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0379,HUMAN OTC DRUG,good sense allergy,,Diphenhydramine HCl,SOLUTION,ORAL,19890915,,OTC MONOGRAPH DRUG,M012,L. Perrigo Company,DIPHENHYDRAMINE HYDROCHLORIDE,12.5,mg/5mL,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0384,HUMAN OTC DRUG,good sense cough dm,,dextromethorphan polistirex,SUSPENSION,ORAL,20130201,,ANDA,ANDA091135,L. Perrigo Company,DEXTROMETHORPHAN HYDROBROMIDE,30,mg/5mL,"Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0388,HUMAN OTC DRUG,good sense nasal,,Oxymetazoline HCl,"SPRAY, METERED",NASAL,20020513,,OTC MONOGRAPH DRUG,M012,L. Perrigo Company,OXYMETAZOLINE HYDROCHLORIDE,0.05,g/100mL,"Imidazolines [CS], Increased Sympathetic Activity [PE], Vasoconstriction [PE], Vasoconstrictor [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0401,HUMAN OTC DRUG,Zephrex D,,pseudoephedrine hydrochloride,"CAPSULE, GELATIN COATED",ORAL,20161104,,OTC MONOGRAPH DRUG,M012,L. Perrigo Company,PSEUDOEPHEDRINE HYDROCHLORIDE,30,mg/1,"Adrenergic alpha-Agonists [MoA], alpha-Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0403,HUMAN OTC DRUG,good sense pain relief,,Acetaminophen,TABLET,ORAL,19890815,,OTC MONOGRAPH DRUG,M013,L. Perrigo Company,ACETAMINOPHEN,325,mg/1,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0422,HUMAN OTC DRUG,Good Sense Nicotine,,Nicotine Polacrilex,"GUM, CHEWING",ORAL,20050422,,ANDA,ANDA078326,L. Perrigo Company,NICOTINE,4,mg/1,"Cholinergic Nicotinic Agonist [EPC], Nicotine [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0426,HUMAN OTC DRUG,good sense tioconazole 1,,Tioconazole,OINTMENT,VAGINAL,20191022,,ANDA,ANDA075915,L. Perrigo Company,TIOCONAZOLE,6.5,g/100g,"Azole Antifungal [EPC], Azoles [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0428,HUMAN OTC DRUG,Good Sense Gas Relief,Extra Strength,Simethicone,"CAPSULE, LIQUID FILLED",ORAL,19990209,,OTC MONOGRAPH DRUG,M002,L. Perrigo Company,DIMETHICONE,125,mg/1,Skin Barrier Activity [PE],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0113-0431,HUMAN OTC DRUG,good sense nighttime sleep aid,,Diphenhydramine Hydrochloride,"TABLET, FILM COATED",ORAL,20010425,,OTC MONOGRAPH DRUG,M010,L. Perrigo Company,DIPHENHYDRAMINE HYDROCHLORIDE,25,mg/1,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
