NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0002-1423,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,12.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-1433,HUMAN PRESCRIPTION DRUG,Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20140918,,BLA,BLA125469,Eli Lilly and Company,DULAGLUTIDE,0.75,mg/.5mL,"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-1434,HUMAN PRESCRIPTION DRUG,Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20140918,,BLA,BLA125469,Eli Lilly and Company,DULAGLUTIDE,1.5,mg/.5mL,"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-1436,HUMAN PRESCRIPTION DRUG,EMGALITY,,galcanezumab-gnlm,"INJECTION, SOLUTION",SUBCUTANEOUS,20180927,,BLA,BLA761063,Eli Lilly and Company,GALCANEZUMAB,120,mg/mL,,,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-1445,HUMAN PRESCRIPTION DRUG,TALTZ,,ixekizumab,"INJECTION, SOLUTION",SUBCUTANEOUS,20160322,,BLA,BLA125521,Eli Lilly and Company,IXEKIZUMAB,80,mg/mL,"Interleukin-17A Antagonist [EPC], Interleukin-17A Antagonists [MoA]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-1457,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,15,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-1460,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,12.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-1471,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,10,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-1484,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,7.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-1495,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-1506,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,2.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2002,HUMAN PRESCRIPTION DRUG,Zepbound,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,15,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2214,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,7.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2236,HUMAN PRESCRIPTION DRUG,Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20200903,,BLA,BLA125469,Eli Lilly and Company,DULAGLUTIDE,3,mg/.5mL,"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-2340,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,10,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2377,HUMAN PRESCRIPTION DRUG,EMGALITY,,galcanezumab-gnlm,"INJECTION, SOLUTION",SUBCUTANEOUS,20180927,,BLA,BLA761063,Eli Lilly and Company,GALCANEZUMAB,120,mg/mL,,,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-2423,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,12.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2457,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,15,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2460,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,12.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2471,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,10,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2484,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,7.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2495,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2506,HUMAN PRESCRIPTION DRUG,ZEPBOUND,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20231108,,NDA,NDA217806,Eli Lilly and Company,TIRZEPATIDE,2.5,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-2980,HUMAN PRESCRIPTION DRUG,RETEVMO,,selpercatinib,CAPSULE,ORAL,20200508,,NDA,NDA213246,Eli Lilly and Company,SELPERCATINIB,80,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Kinase Inhibitor [EPC], Multidrug and Toxin Extrusion Transporter 1 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA], Rearranged during Transfection (RET) Inhibitors [MoA]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-3002,HUMAN PRESCRIPTION DRUG,MOUNJARO,,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,NDA,NDA215866,Eli Lilly and Company,TIRZEPATIDE,15,mg/.5mL,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",,N,20261231,E11.9,"[{""icd10_code"":""E11.9"",""description"":""Type 2 diabetes mellitus without complications"",""confidence"":0.7,""context"":""diabetes indication""},{""icd10_code"":""E66.9"",""description"":""Obesity, unspecified"",""confidence"":0.25,""context"":""weight management (Zepbound)""},{""icd10_code"":""E11.69"",""description"":""Type 2 diabetes with other specified complication"",""confidence"":0.05,""context"":""complex diabetes""}]",0.70
0002-3115,HUMAN PRESCRIPTION DRUG,EMGALITY,,galcanezumab-gnlm,"INJECTION, SOLUTION",SUBCUTANEOUS,20190604,,BLA,BLA761063,Eli Lilly and Company,GALCANEZUMAB,100,mg/mL,,,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0002-3116,HUMAN PRESCRIPTION DRUG,Omvoh,,mirikizumab-mrkz,"INJECTION, SOLUTION",SUBCUTANEOUS,20250403,,BLA,BLA761279,Eli Lilly and Company,MIRIKIZUMAB,100,mg/mL,"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
