NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0220-1283,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,30,[hp_X]/30[hp_X],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1286,HUMAN OTC DRUG,Carduus marianus,,MILK THISTLE,PELLET,ORAL,20240101,,UNAPPROVED HOMEOPATHIC,,Boiron,MILK THISTLE,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1287,HUMAN OTC DRUG,Cedron,,SIMABA CEDRON SEED,PELLET,ORAL,20240101,,UNAPPROVED HOMEOPATHIC,,Boiron,SIMABA CEDRON SEED,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1291,HUMAN OTC DRUG,Collinsonia canadensis,,COLLINSONIA CANADENSIS ROOT,PELLET,ORAL,20240101,,UNAPPROVED HOMEOPATHIC,,Boiron,COLLINSONIA CANADENSIS ROOT,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1293,HUMAN OTC DRUG,Chenopodium anthelminticum,,DYSPHANIA AMBROSIOIDES,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,DYSPHANIA AMBROSIOIDES,9,[hp_C]/9[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1301,HUMAN PRESCRIPTION DRUG,Chimaphila umbellata,,CHIMAPHILA UMBELLATA,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHIMAPHILA UMBELLATA,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1306,HUMAN OTC DRUG,Chininum sulphuricum,,QUININE SULFATE,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,QUININE SULFATE,9,[hp_C]/9[hp_C],Antimalarial [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1307,HUMAN OTC DRUG,Chininum sulphuricum,,QUININE SULFATE,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,QUININE SULFATE,12,[hp_C]/12[hp_C],Antimalarial [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1309,HUMAN OTC DRUG,Chininum arsenicosum,,QUININE ARSENITE,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,QUININE ARSENITE,30,[hp_C]/30[hp_C],Antimalarial [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1310,HUMAN OTC DRUG,Chininum sulphuricum,,QUININE SULFATE,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,QUININE SULFATE,15,[hp_C]/15[hp_C],Antimalarial [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1311,HUMAN OTC DRUG,Chininum sulphuricum,,QUININE SULFATE,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,QUININE SULFATE,30,[hp_C]/30[hp_C],Antimalarial [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1314,HUMAN OTC DRUG,Chininum sulphuricum,,QUININE SULFATE,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,QUININE SULFATE,200,[kp_C]/200[kp_C],Antimalarial [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1321,HUMAN OTC DRUG,Chininum salicylicum,,QUININE SALICYLATE,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,QUININE SALICYLATE,30,[hp_C]/30[hp_C],Antimalarial [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1322,HUMAN OTC DRUG,Chininum salicylicum,,QUININE SALICYLATE,PELLET,ORAL,20240101,,UNAPPROVED HOMEOPATHIC,,Boiron,QUININE SALICYLATE,200,[kp_C]/200[kp_C],Antimalarial [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1325,HUMAN OTC DRUG,Chininum sulphuricum,,QUININE SULFATE,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,QUININE SULFATE,6,[hp_C]/1,Antimalarial [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1329,HUMAN OTC DRUG,Chionanthus virginica,,CHIONANTHUS VIRGINICUS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHIONANTHUS VIRGINICUS BARK,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1330,HUMAN OTC DRUG,Chionanthus virginica,,CHIONANTHUS VIRGINICUS ROOT BARK,PELLET,ORAL,20240101,,UNAPPROVED HOMEOPATHIC,,Boiron,CHIONANTHUS VIRGINICUS ROOT BARK,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1333,HUMAN OTC DRUG,Chlorinum,,CHLORINE,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHLORINE,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1334,HUMAN PRESCRIPTION DRUG,Cholesterinum,,CHOLESTEROL,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHOLESTEROL,9,[hp_C]/9[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1335,HUMAN PRESCRIPTION DRUG,Cholesterinum,,CHOLESTEROL,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHOLESTEROL,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1339,HUMAN PRESCRIPTION DRUG,Cholesterinum,,CHOLESTEROL,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHOLESTEROL,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1341,HUMAN PRESCRIPTION DRUG,Cholesterinum,,CHOLESTEROL,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHOLESTEROL,5,[hp_C]/5[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1343,HUMAN OTC DRUG,Cinnamomum,,CINNAMON,PELLET,ORAL,20240101,,UNAPPROVED HOMEOPATHIC,,Boiron,CINNAMON,2,[kp_C]/200[kp_C],"Allergens [CS], Cell-mediated Immunity [PE], Dietary Proteins [CS], Food Additives [CS], Increased Histamine Release [PE], Non-Standardized Food Allergenic Extract [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1346,HUMAN OTC DRUG,Cimifuga racemosa,,BLACK COHOSH,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,BLACK COHOSH,5,[hp_C]/5[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1347,HUMAN OTC DRUG,Cimifuga racemosa,,BLACK COHOSH,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,BLACK COHOSH,6,[hp_C]/6[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1351,HUMAN OTC DRUG,Cina,,ARTEMISIA CINA PRE-FLOWERING TOP,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,ARTEMISIA CINA PRE-FLOWERING TOP,1,[hp_M]/[hp_M],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1354,HUMAN OTC DRUG,Cimifuga racemosa,,BLACK COHOSH,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,BLACK COHOSH,9,[hp_C]/9[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1355,HUMAN OTC DRUG,Cimifuga racemosa,,BLACK COHOSH,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,BLACK COHOSH,12,[hp_C]/12[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1358,HUMAN OTC DRUG,Cimifuga racemosa,,BLACK COHOSH,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,BLACK COHOSH,15,[hp_C]/15[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1359,HUMAN OTC DRUG,Cimifuga racemosa,,BLACK COHOSH,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,BLACK COHOSH,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1362,HUMAN OTC DRUG,Cimifuga racemosa,,BLACK COHOSH,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,BLACK COHOSH,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1363,HUMAN OTC DRUG,Cimifuga racemosa,,BLACK COHOSH,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,BLACK COHOSH,1,[hp_M]/[hp_M],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1367,HUMAN OTC DRUG,Cina,,ARTEMISIA CINA PRE-FLOWERING TOP,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,ARTEMISIA CINA PRE-FLOWERING TOP,12,[hp_C]/12[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1370,HUMAN OTC DRUG,Cina,,ARTEMISIA CINA PRE-FLOWERING TOP,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,ARTEMISIA CINA PRE-FLOWERING TOP,6,[hp_C]/6[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1371,HUMAN OTC DRUG,Cina,,ARTEMISIA CINA PRE-FLOWERING TOP,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,ARTEMISIA CINA PRE-FLOWERING TOP,9,[hp_C]/9[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1374,HUMAN OTC DRUG,Cina,,ARTEMISIA CINA PRE-FLOWERING TOP,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,ARTEMISIA CINA PRE-FLOWERING TOP,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1375,HUMAN OTC DRUG,Cina,,ARTEMISIA CINA PRE-FLOWERING TOP,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,ARTEMISIA CINA PRE-FLOWERING TOP,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1377,HUMAN OTC DRUG,Cicuta virosa,,CICUTA VIROSA ROOT,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CICUTA VIROSA ROOT,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1378,HUMAN OTC DRUG,Cicuta virosa,,CICUTA VIROSA ROOT,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CICUTA VIROSA ROOT,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1379,HUMAN OTC DRUG,Cina,,ARTEMISIA CINA PRE-FLOWERING TOP,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,ARTEMISIA CINA PRE-FLOWERING TOP,15,[hp_C]/15[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1382,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,5,[hp_C]/5[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1383,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,6,[hp_C]/6[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1385,HUMAN OTC DRUG,Cimicifuga racemosa,,BLACK COHOSH,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,BLACK COHOSH,30,[hp_X]/1,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1386,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,9,[hp_C]/9[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1389,HUMAN OTC DRUG,Cina,,ARTEMISIA CINA PRE-FLOWERING TOP,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,ARTEMISIA CINA PRE-FLOWERING TOP,30,[hp_X]/1,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1390,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,12,[hp_C]/12[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1393,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,6,[hp_X]/1,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1395,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,15,[hp_C]/15[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1396,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1399,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1400,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,1,[hp_M]/[hp_M],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1402,HUMAN OTC DRUG,Cineraria maritima,,JACOBAEA MARITIMA,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,JACOBAEA MARITIMA,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1403,HUMAN OTC DRUG,Cinchona officinalis,,CINCHONA OFFICINALIS BARK,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CINCHONA OFFICINALIS BARK,10,[hp_M]/10[hp_M],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
