NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0143-9786,HUMAN PRESCRIPTION DRUG,Enalaprilat,,enalaprilat,INJECTION,INTRAVENOUS,20081223,,ANDA,ANDA078687,Hikma Pharmaceuticals USA Inc.,ENALAPRILAT DIHYDRATE,2.5,mg/2mL,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Decreased Blood Pressure [PE]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9787,HUMAN PRESCRIPTION DRUG,Enalaprilat,,enalaprilat,INJECTION,INTRAVENOUS,20081223,,ANDA,ANDA078687,Hikma Pharmaceuticals USA Inc.,ENALAPRILAT DIHYDRATE,1.25,mg/mL,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Decreased Blood Pressure [PE]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9788,HUMAN PRESCRIPTION DRUG,Fosphenytoin Sodium,,Fosphenytoin Sodium,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20091202,,ANDA,ANDA078765,West-Ward Pharmaceuticals Corp,FOSPHENYTOIN SODIUM,50,mg/mL,"Anti-epileptic Agent [EPC], Cytochrome P450 1A2 Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inducers [MoA], Cytochrome P450 2C8 Inducers [MoA], Cytochrome P450 2C9 Inducers [MoA], Cytochrome P450 2D6 Inducers [MoA], Cytochrome P450 3A Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9802,HUMAN PRESCRIPTION DRUG,Doxycycline Hyclate,,Doxycycline Hyclate,CAPSULE,ORAL,19840507,,ANDA,ANDA062396,Hikma Pharmaceuticals USA Inc.,DOXYCYCLINE HYCLATE,50,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9803,HUMAN PRESCRIPTION DRUG,Doxycycline Hyclate,,Doxycycline Hyclate,CAPSULE,ORAL,19840507,,ANDA,ANDA062396,Hikma Pharmaceuticals USA Inc.,DOXYCYCLINE HYCLATE,100,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9830,HUMAN PRESCRIPTION DRUG,Methotrexate,,Methotrexate,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRA-ARTERIAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,20050906,,ANDA,ANDA040632,Hikma Pharmaceuticals USA Inc.,METHOTREXATE,1,g/1,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9836,HUMAN PRESCRIPTION DRUG,Penicillin V Potassium,,Penicillin V Potassium,"TABLET, FILM COATED",ORAL,20131011,,ANDA,ANDA090549,Hikma Pharmaceuticals USA Inc.,PENICILLIN V POTASSIUM,500,mg/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9837,HUMAN PRESCRIPTION DRUG,Penicillin V Potassium,,Penicillin V Potassium,"TABLET, FILM COATED",ORAL,20131011,,ANDA,ANDA090549,Hikma Pharmaceuticals USA Inc.,PENICILLIN V POTASSIUM,250,mg/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9850,HUMAN PRESCRIPTION DRUG,Methylprednisolone Sodium Succinate,,Methylprednisolone Sodium Succinate,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20160101,,ANDA,ANDA202691,Hikma Pharmaceuticals USA Inc.,METHYLPREDNISOLONE SODIUM SUCCINATE,500,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9851,HUMAN PRESCRIPTION DRUG,Methylprednisolone Sodium Succinate,,Methylprednisolone Sodium Succinate,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20160101,,ANDA,ANDA202691,Hikma Pharmaceuticals USA Inc.,METHYLPREDNISOLONE SODIUM SUCCINATE,1,g/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9852,HUMAN PRESCRIPTION DRUG,Levocarnitine,,Levocarnitine,INJECTION,INTRAVENOUS,20230601,,ANDA,ANDA075567,Hikma Pharmaceuticals USA Inc.,LEVOCARNITINE,1,g/5mL,"Carnitine Analog [EPC], Carnitine [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9853,HUMAN PRESCRIPTION DRUG,Amoxicillin and Clavulanate Potassium,,Amoxicillin and Clavulanate Potassium,SUSPENSION,ORAL,20090803,,ANDA,ANDA065373,Hikma Pharmaceuticals USA Inc.,AMOXICILLIN; CLAVULANATE POTASSIUM,600; 42.9,mg/5mL; mg/5mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9856,HUMAN PRESCRIPTION DRUG,Ceftriaxone,,Ceftriaxone,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20080110,,ANDA,ANDA065342,Hikma Pharmaceuticals USA Inc.,CEFTRIAXONE SODIUM,2,g/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9857,HUMAN PRESCRIPTION DRUG,Ceftriaxone,,Ceftriaxone,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20080110,,ANDA,ANDA065342,Hikma Pharmaceuticals USA Inc.,CEFTRIAXONE SODIUM,1,g/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9858,HUMAN PRESCRIPTION DRUG,Ceftriaxone,,Ceftriaxone,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20080110,,ANDA,ANDA065342,Hikma Pharmaceuticals USA Inc.,CEFTRIAXONE SODIUM,500,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9859,HUMAN PRESCRIPTION DRUG,Ceftriaxone,,ceftriaxone,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20080110,,ANDA,ANDA065342,Hikma Pharmaceuticals USA Inc.,CEFTRIAXONE SODIUM,250,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9864,HUMAN PRESCRIPTION DRUG,Butorphanol Tartrate,,Butorphanol Tartrate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20090501,,ANDA,ANDA078400,Hikma Pharmaceuticals USA Inc.,BUTORPHANOL TARTRATE,1,mg/mL,"Competitive Opioid Antagonists [MoA], Opioid Agonist/Antagonist [EPC], Partial Opioid Agonists [MoA]",CIV,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9867,HUMAN PRESCRIPTION DRUG,Butorphanol Tartrate,,Butorphanol Tartrate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20090501,,ANDA,ANDA078400,Hikma Pharmaceuticals USA Inc.,BUTORPHANOL TARTRATE,2,mg/mL,"Competitive Opioid Antagonists [MoA], Opioid Agonist/Antagonist [EPC], Partial Opioid Agonists [MoA]",CIV,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9871,HUMAN PRESCRIPTION DRUG,Cladribine,,Cladribine,INJECTION,INTRAVENOUS,20000228,,ANDA,ANDA075405,Hikma Pharmaceuticals USA Inc.,CLADRIBINE,1,mg/mL,Purine Antimetabolite [EPC],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9872,HUMAN PRESCRIPTION DRUG,Propranolol Hydrochloride,,Propranolol Hydrochloride,INJECTION,INTRAVENOUS,20080131,,ANDA,ANDA077760,Hikma Pharmaceuticals USA Inc.,PROPRANOLOL HYDROCHLORIDE,1,mg/mL,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9873,HUMAN PRESCRIPTION DRUG,Metoprolol Tartrate,,Metoprolol Tartrate,"INJECTION, SOLUTION",INTRAVENOUS,20070530,,ANDA,ANDA077761,Hikma Pharmaceuticals USA Inc.,METOPROLOL TARTRATE,5,mg/5mL,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9875,HUMAN PRESCRIPTION DRUG,Amiodarone Hydrochloride,,Amiodarone Hydrochloride,"INJECTION, SOLUTION",INTRAVENOUS,20080225,,ANDA,ANDA077234,Hikma Pharmaceuticals USA Inc.,AMIODARONE HYDROCHLORIDE,50,mg/mL,"Antiarrhythmic [EPC], Cytochrome P450 1A2 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9876,HUMAN PRESCRIPTION DRUG,Cefoxitin,,Cefoxitin,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,20100226,,ANDA,ANDA065239,Hikma Pharmaceuticals USA Inc.,CEFOXITIN SODIUM,10,g/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9877,HUMAN PRESCRIPTION DRUG,Cefoxitin,,Cefoxitin,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,20100312,,ANDA,ANDA065238,Hikma Pharmaceuticals USA Inc.,CEFOXITIN SODIUM,2,g/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9878,HUMAN PRESCRIPTION DRUG,Cefoxitin,,Cefoxitin,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,20100312,,ANDA,ANDA065238,Hikma Pharmaceuticals USA Inc.,CEFOXITIN SODIUM,1,g/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9886,HUMAN PRESCRIPTION DRUG,Amoxicillin,,Amoxicillin,"POWDER, FOR SUSPENSION",ORAL,20060619,,ANDA,ANDA065325,Hikma Pharmaceuticals USA Inc.,AMOXICILLIN,200,mg/5mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9887,HUMAN PRESCRIPTION DRUG,Amoxicillin,,Amoxicillin,"POWDER, FOR SUSPENSION",ORAL,20060619,,ANDA,ANDA065325,Hikma Pharmaceuticals USA Inc.,AMOXICILLIN,400,mg/5mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9888,HUMAN PRESCRIPTION DRUG,Amoxicillin,,Amoxicillin,"POWDER, FOR SUSPENSION",ORAL,20060619,,ANDA,ANDA065322,Hikma Pharmaceuticals USA Inc.,AMOXICILLIN,125,mg/5mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9889,HUMAN PRESCRIPTION DRUG,Amoxicillin,,Amoxicillin,"POWDER, FOR SUSPENSION",ORAL,20060619,,ANDA,ANDA065322,Hikma Pharmaceuticals USA Inc.,AMOXICILLIN,250,mg/5mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9890,HUMAN PRESCRIPTION DRUG,Ondansetron,,Ondansetron,INJECTION,INTRAMUSCULAR; INTRAVENOUS,20061226,,ANDA,ANDA076781,West-Ward Pharmaceuticals Corp,ONDANSETRON HYDROCHLORIDE,2,mg/mL,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9891,HUMAN PRESCRIPTION DRUG,Ondansetron,,Ondansetron,INJECTION,INTRAMUSCULAR; INTRAVENOUS,20061226,,ANDA,ANDA076780,West-Ward Pharmaceuticals Corp,ONDANSETRON HYDROCHLORIDE,2,mg/mL,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9899,HUMAN PRESCRIPTION DRUG,Fluconazole,,Fluconazole,INJECTION,INTRAVENOUS,20050823,,ANDA,ANDA076736,Hikma Pharmaceuticals USA Inc.,FLUCONAZOLE,2,mg/mL,"Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9923,HUMAN PRESCRIPTION DRUG,Cefazolin,,Cefazolin,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20010918,,ANDA,ANDA065047,Hikma Pharmaceuticals USA Inc.,CEFAZOLIN SODIUM,225,mg/mL,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9924,HUMAN PRESCRIPTION DRUG,Cefazolin,,Cefazolin,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20010918,,ANDA,ANDA065047,Hikma Pharmaceuticals USA Inc.,CEFAZOLIN SODIUM,330,mg/mL,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9927,HUMAN PRESCRIPTION DRUG,Ciprofloxacin,,Ciprofloxacin,"TABLET, FILM COATED",ORAL,20040609,,ANDA,ANDA076558,Hikma Pharmaceuticals USA Inc.,CIPROFLOXACIN HYDROCHLORIDE,250,mg/1,"Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9928,HUMAN PRESCRIPTION DRUG,Ciprofloxacin,,Ciprofloxacin,"TABLET, FILM COATED",ORAL,20040609,,ANDA,ANDA076558,Hikma Pharmaceuticals USA Inc.,CIPROFLOXACIN HYDROCHLORIDE,500,mg/1,"Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9929,HUMAN PRESCRIPTION DRUG,Ciprofloxacin,,Ciprofloxacin,"TABLET, FILM COATED",ORAL,20040609,,ANDA,ANDA076558,Hikma Pharmaceuticals USA Inc.,CIPROFLOXACIN HYDROCHLORIDE,750,mg/1,"Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0143-9930,HUMAN PRESCRIPTION DRUG,Cefotaxime,,Cefotaxime,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20021120,,ANDA,ANDA065072,Hikma Pharmaceuticals USA Inc.,CEFOTAXIME SODIUM,500,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
