NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0067-0123,HUMAN OTC DRUG,Theraflu,Severe Cold Relief Combo Pack,"acetaminophen, dextromethorphan hbr, diphenhydramine hcl",KIT,,20240601,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,,,,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-0129,HUMAN OTC DRUG,Gas-X,Extra Strength,Simethicone,"TABLET, CHEWABLE",ORAL,20120101,,OTC MONOGRAPH DRUG,M002,Haleon US Holdings LLC,"DIMETHICONE, UNSPECIFIED",125,mg/1,Skin Barrier Activity [PE],,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2000,HUMAN OTC DRUG,Excedrin,Extra Strength Pain Reliever,"Acetaminophen, Aspirin (NSAID), and Caffeine","TABLET, FILM COATED",ORAL,20060927,,OTC MONOGRAPH DRUG,M013,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2001,HUMAN OTC DRUG,Excedrin,Extra Strength Pain Reliever,"Acetaminophen, Aspirin (NSAID), and Caffeine","TABLET, FILM COATED",ORAL,20190315,,OTC MONOGRAPH DRUG,M013,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2002,HUMAN OTC DRUG,Excedrin,Extra Strength Headache,"Acetaminophen, Aspirin (NSAID), Caffeine","TABLET, FILM COATED",ORAL,20240101,,OTC MONOGRAPH DRUG,M013,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2003,HUMAN OTC DRUG,Excedrin,Extra Strength Headache,"Acetaminophen, Aspirin (NSAID), Caffeine","TABLET, FILM COATED",ORAL,20240101,,OTC MONOGRAPH DRUG,M013,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2021,HUMAN OTC DRUG,Excedrin,Extra Strength Geltabs,"Acetaminophen, Asprin, Caffeine","TABLET, COATED",ORAL,20110913,,OTC MONOGRAPH DRUG,M013,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2035,HUMAN OTC DRUG,Excedrin,Migraine Geltabs,"Acetaminophen, Asprin, Caffeine","TABLET, COATED",ORAL,20110913,,NDA,NDA020802,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2039,HUMAN OTC DRUG,EXCEDRIN,MIGRAINE,"Acetaminophen, Aspirin (NSAID) and Caffeine","TABLET, FILM COATED",ORAL,20100215,,NDA,NDA020802,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2040,HUMAN OTC DRUG,Excedrin,Migraine,"Acetaminophen, Aspirin, and Caffeine","TABLET, FILM COATED",ORAL,20200930,,NDA,NDA020802,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2042,HUMAN OTC DRUG,Excedrin,Migraine Relief,"Acetaminophen, Aspirin (NSAID), Caffeine","TABLET, FILM COATED",ORAL,20240101,,NDA,NDA020802,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; CAFFEINE,250; 250; 65,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2056,HUMAN OTC DRUG,Excedrin PM Triple Action Caplets,,"Acetaminophen, Aspirin (NSAID) and Diphenhydramine Citrate","TABLET, COATED",ORAL,20140924,,OTC MONOGRAPH DRUG,M013,Haleon US Holdings LLC,ACETAMINOPHEN; ASPIRIN; DIPHENHYDRAMINE CITRATE,250; 250; 38,mg/1; mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-2086,HUMAN OTC DRUG,4 Way,Fast Acting,Phenylephrine hydrochloride,SPRAY,NASAL,20100101,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,PHENYLEPHRINE HYDROCHLORIDE,10,mg/mL,"Adrenergic alpha1-Agonists [MoA], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-3998,HUMAN OTC DRUG,Lamisil,AT,TERBINAFINE HYDROCHLORIDE,CREAM,TOPICAL,20050810,20251130,NDA,NDA020980,Haleon US Holdings LLC,TERBINAFINE HYDROCHLORIDE,10,mg/g,"Allylamine Antifungal [EPC], Allylamine [CS]",,N,,L30.9,"[{""icd10_code"":""L30.9"",""description"":""Dermatitis, unspecified"",""confidence"":0.6,""context"":""skin condition""},{""icd10_code"":""L20.9"",""description"":""Atopic dermatitis, unspecified"",""confidence"":0.2,""context"":""eczema""},{""icd10_code"":""L40.9"",""description"":""Psoriasis, unspecified"",""confidence"":0.2,""context"":""psoriasis""}]",0.60
0067-6094,HUMAN OTC DRUG,Theraflu,PowerPods Daytime Severe Cold,"ACETAMINOPHEN, DEXTROMETHORPHAN, PHENYLEPHRINE","POWDER, FOR SOLUTION",ORAL,20180728,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE,650; 20; 10,mg/1; mg/1; mg/1,"Adrenergic alpha1-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6095,HUMAN OTC DRUG,THERAFLU,POWERPODS NIGHTTIME SEVERE COLD,"ACETAMINOPHEN, DIPHENHYDRAMINE HCL, PHENYLEPHRINE HCL","POWDER, FOR SOLUTION",ORAL,20180728,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE; PHENYLEPHRINE HYDROCHLORIDE,650; 25; 10,mg/1; mg/1; mg/1,"Adrenergic alpha1-Agonists [MoA], Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6274,HUMAN OTC DRUG,Gas-X,Ultra Strength AntiGas Softgels,Simethicone,"CAPSULE, LIQUID FILLED",ORAL,20070901,,OTC MONOGRAPH DRUG,M002,Haleon US Holdings LLC,DIMETHICONE,180,mg/1,Skin Barrier Activity [PE],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6275,HUMAN OTC DRUG,Gas-X,Extra Strength Softgels,Simethicone,"CAPSULE, LIQUID FILLED",ORAL,20110912,,OTC MONOGRAPH DRUG,M001,Haleon US Holdings LLC,"DIMETHICONE, UNSPECIFIED",125,mg/1,Skin Barrier Activity [PE],,N,20261231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6283,HUMAN OTC DRUG,Gas-X,Maximum Strength Softgels,Simethicone,"CAPSULE, LIQUID FILLED",ORAL,20190310,,OTC MONOGRAPH DRUG,M001,Haleon US Holdings LLC,DIMETHICONE,250,mg/1,Skin Barrier Activity [PE],,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6426,HUMAN OTC DRUG,THERAFLU,MULTI-SYMPTOM SEVERE COLD,"ACETAMINOPHEN, DEXTROMETHORPHAN HBr, PHENYLEPHRINE HCl","POWDER, FOR SOLUTION",ORAL,20140701,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE,500; 20; 10,mg/237mL; mg/237mL; mg/237mL,"Adrenergic alpha1-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6800,HUMAN OTC DRUG,Theraflu Severe Cold Relief Daytime Berry Burst,,"Acetaminophen, Dextromethorphan HBr, Phenylephrine Hydrochloride",POWDER,ORAL,20220120,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE,650; 20; 10,mg/1; mg/1; mg/1,"Adrenergic alpha1-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6801,HUMAN OTC DRUG,Theraflu Severe Cold relief Nighttime,,"Acetaminophen, Diphenhydramine Hydrochloride, Phenylephrine Hydrochloride",POWDER,ORAL,20220120,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE; PHENYLEPHRINE HYDROCHLORIDE,500; 25; 10,mg/1; mg/1; mg/1,"Adrenergic alpha1-Agonists [MoA], Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6802,HUMAN OTC DRUG,THERAFLU,Severe Cold Relief Daytime,"ACETAMINOPHEN, DEXTROMETHORPHAN HBr, PHENYLEPHRINE HCl","POWDER, FOR SOLUTION",ORAL,20230120,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE,500; 20; 10,mg/237mL; mg/237mL; mg/237mL,"Adrenergic alpha1-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6803,HUMAN OTC DRUG,Theraflu,Severe Cold Relief Nighttime,"ACETAMINOPHEN, DIPHENHYDRAMINE HCl, PHENYLEPHRINE HCl","POWDER, FOR SOLUTION",ORAL,20230120,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE; PHENYLEPHRINE HYDROCHLORIDE,650; 25; 10,mg/237mL; mg/237mL; mg/237mL,"Adrenergic alpha1-Agonists [MoA], Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-6804,HUMAN OTC DRUG,Theraflu Severe Cold Relief Daytime and Theraflu Severe Cold Relief Nighttime,,"Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl, Diphenhydramine HCl",KIT,,20230120,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,,,,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-7917,HUMAN OTC DRUG,Theraflu,Daytime Severe Cold and Cough,"ACETAMINOPHEN, DEXTROMETHORPHAN, PHENYLEPHRINE","POWDER, FOR SOLUTION",ORAL,20120924,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE,650; 20; 10,mg/1; mg/1; mg/1,"Adrenergic alpha1-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-7918,HUMAN OTC DRUG,THERAFLU,NIGHTTIME SEVERE COLD AND COUGH,"ACETAMINOPHEN, DIPHENHYDRAMINE HCL, PHENYLEPHRINE HCL","POWDER, FOR SOLUTION",ORAL,20140701,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE; PHENYLEPHRINE HYDROCHLORIDE,650; 25; 10,mg/237mL; mg/237mL; mg/237mL,"Adrenergic alpha1-Agonists [MoA], Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC], alpha-1 Adrenergic Agonist [EPC]",,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0067-7919,HUMAN OTC DRUG,Theraflu Multi-Symptom Severe Cold and Theraflu Nighttime Severe Cold and Cough,,"Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl, Diphenhydramine HCl",KIT,,20160101,,OTC MONOGRAPH DRUG,M012,Haleon US Holdings LLC,,,,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
